,Tag,question
0,c#,convert decimal double c# convert decimal double c# convert decimal double c# want use track-bar change form opacity code decimal trans trackbar1value 5000 thisopacity trans build application give follow error cannot implicitly convert type decimal double try use trans double control work code work fine past vb.net project
1,html,width collapse percentage width child element absolutely position parent internet explorer 7 width collapse percentage width child element absolutely position parent internet explorer 7 width collapse percentage width child element absolutely position parent internet explorer 7 absolutely position div contain several children one relatively position div use percentage-based width child div collapse 0 width ie7 firefox safari use pixel width work parent relatively position percentage width child work something miss easy fix besides pixel-based width child area css specification cover
2,c# .net,calculate someone age base datetime type birthday calculate someone age base datetime type birthday calculate someone age base datetime type birthday give datetime represent person birthday calculate age years
3,c#,calculate relative time c# calculate relative time c# calculate relative time c# give specific datetime value display relative time like 2 hours ago 3 days ago month ago
4,html,determine user timezone determine user timezone determine user timezone standard way web server able determine user timezone within web page perhaps http header part user-agent string
5,.net,difference mathfloor mathtruncate difference mathfloor mathtruncate difference mathfloor mathtruncate difference mathfloor mathtruncate .net
6,c#,fill dataset datatable linq query result set fill dataset datatable linq query result set fill dataset datatable linq query result set expose linq query asmx web service usually business tier return type dataset datatable serialize transport asmx linq query way populate type dataset datatable via linq query public static mydatatable callmysproc string conn mydatabasedatacontext db new mydatabasedatacontext conn mydatatable dt new mydatatable execute sproc via linq var query dr dbmysproc asenumerable select dr copy linq query resultset datatable -this work dt querycopytodatatable return dt could put result set linq query dataset datatable alternatively linq query serializable expose asmx web service
7,mysql database,binary data mysql binary data mysql binary data mysql store binary data mysql
8,performance language-agnostic,fastest way get value π fastest way get value π fastest way get value π look fastest way obtain value π personal challenge specifically use ways involve use define constants like mpi hard-coding number program test various ways know inline assembly version theory fastest option though clearly portable include baseline compare versions test built-ins 4 atan 1 version fastest gcc 42 auto-folds atan 1 constant -fno-builtin specify atan2 0 -1 version fastest main test program pitimesc include mathh include stdioh include timeh define iters 10000000 define testwith x diff 00 time1 clock 0 iters diff x - mpi time2 clock printf st e time fn x diff diffclock time2 time1 static inline double diffclock clockt time1 clockt time0 return double time1 - time0 clockspersec int main int clockt time1 time2 double diff warmup atan2 case catch gcc atan fold would optimise 4 atan 1 - mpi no-op -fno-builtin use testwith 4 atan 1 testwith 4 atan2 1 1 define gnuc amp define i386 124 124 define amd64 extern double fldpi testwith fldpi endif actual test start testwith atan2 0 -1 testwith acos -1 testwith 2 asin 1 testwith 4 atan2 1 1 testwith 4 atan 1 return 0 inline assembly stuff fldpic work x86 x64 systems double fldpi double pi asm fldpi pi return pi build script build configurations test buildsh binsh gcc -o3 -wall -c -m32 -o fldpi-32o fldpic gcc -o3 -wall -c -m64 -o fldpi-64o fldpic gcc -o3 -wall -ffast-math -m32 -o pitimes1-32 pitimesc fldpi-32o gcc -o3 -wall -m32 -o pitimes2-32 pitimesc fldpi-32o -lm gcc -o3 -wall -fno-builtin -m32 -o pitimes3-32 pitimesc fldpi-32o -lm gcc -o3 -wall -ffast-math -m64 -o pitimes1-64 pitimesc fldpi-64o -lm gcc -o3 -wall -m64 -o pitimes2-64 pitimesc fldpi-64o -lm gcc -o3 -wall -fno-builtin -m64 -o pitimes3-64 pitimesc fldpi-64o -lm apart test various compiler flag compare 32-bit 64-bit optimizations different also try switch order test around still atan2 0 -1 version still come top every time
9,mysql database,throw error prevent table update mysql trigger throw error prevent table update mysql trigger throw error prevent table update mysql trigger trigger update table throw error prevent update table
