PostId,TagName
"4","c#"
"4","decimal"
"4","double"
"4","floating-point"
"4","type-conversion"
"6","html"
"6","internet-explorer-7"
"6","css"
"9","datetime"
"9","c#"
"9",".net"
"11","c#"
"11","datetime"
"11","datediff"
"11","time"
"11","relative-time-span"
"13","timezone"
"13","timezone-offset"
"13","user-agent"
"13","browser"
"13","html"
"14","math"
"14",".net"
"16",".net-3.5"
"16","c#"
"16","linq"
"16","web-services"
"17","mysql"
"17","binary-data"
"17","data-storage"
"17","database"
"19","algorithm"
"19","performance"
"19","pi"
"19","language-agnostic"
"19","unix"
"24","triggers"
"24","mysql"
"24","database"
"25","c++"
"25","c"
"25","mainframe"
"25","sockets"
"25","zos"
"34","actionscript-3"
"34","apache-flex"
"34","arrays"
"36","datatable"
"36","rdbms"
"36","sql"
"36","sql-server"
"39","timer"
"39","vb.net"
"39",".net"
"39","c#"
"42","architecture"
"42","plugins"
"42","php"
"42","hook"
"48","html"
"48","forms"
"48","form-submit"
"48","submit-button"
"59","linq"
"59",".net-3.5"
"59","c#"
"61","file-type"
"61","mime"
"61","office-2007"
"66","linq"
"66",".net-3.5"
"72","rdoc"
"72","ruby"
"79","subclipse"
"79","svn"
"79","aptana"
"79","eclipse"
"80","apache-flex"
"80","actionscript-3"
"80","air"
"85","database"
"85","php"
"85","flat-file"
"85","sql"
"88","timer"
"88","unix"
"88","visual-c++"
"88","winapi"
"88","linux"
"90","branch"
"90","branching-and-merging"
"90","tortoisesvn"
"90","svn"
"104",".net"
"104","com-interop"
"104","performance"
"104","memory-leaks"
"108","64-bit"
"108","svn"
"108","windows"
"109","vb.net"
"109","sql"
"109","ascii"
"109","c#"
"109","hex"
"120","asp.net"
"120","sql"
"120","sitemap"
"120","xml"
"123","xml"
"123","csv"
"123","data-conversion"
"123","java"
"126","java"
"126","oop"
"126","php"
"126","theory"
"129","sql-server-2005"
"129","sql-server"
"129","mysql"
"129","csv"
"129","bcp"
"134",".net"
"134","database"
"134","xsd"
"145","file"
"145","compression"
"145","c#"
"145",".net"
"146","analytics"
"146","apache"
"146","download"
"146","logging"
"146","php"
"163","asp.net"
"163",".net"
"163","versioning"
"163","svn"
"164","windows"
"164","embed"
"164","media"
"173","database"
"173","version-control"
"173","svn"
"173","sql-server"
"174","web-services"
"174","c#"
"174","printing"
"174","html"
"175","youtube"
"175","reverse-engineering"
"176","virtualhost"
"176","linux"
"176","apache"
"180","algorithm"
"180","colors"
"180","color-space"
"180","language-agnostic"
"192","internationalization"
"192","globalization"
"192","c#"
"192","asp.net"
"192",".net"
"194","migration"
"194","sql-server"
"227","tag-cloud"
"227","php"
"227","arrays"
"231","mailto"
"231","windows"
"234","sql-server-2005"
"234","sql-server"
"234","mysql"
"246",".net"
"246","database"
"246","sqlite"
"260","scripting"
"260","c#"
"260","compiler-construction"
"260",".net"
"263","c"
"263","gtk"
"263","linux"
"263","x11"
"264","berkeley-db"
"264","c++"
"265","collaboration"
"265","svn"
